id;name;description;required_energy;damage_id
1;Cheese B2C Guyana;attitude programming Car;307;1
2;Administrator;interfaces;65513;2
3;purple leverage Arkansas;productize Loan;8749;3
4;Cheese Account;Home sky Gorgeous;5212;4
5;Keyboard;protocol copying RAM;82186;5
6;Concrete ivory connecting;Customer Regional Granite;2519;6
7;Hat;bandwidth violet;56060;7
8;Communications online Cambridgeshire;Synergized;53922;8
9;Integrated Underpass;up;11644;9
10;Loan Virginia Checking;matrices Exclusive zero;25003;10
